"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US2402","Congressional District 2 (116th Congress), Maryland","768511","15193"
"5001600US2403","Congressional District 3 (116th Congress), Maryland","754636","17601"
"5001600US2404","Congressional District 4 (116th Congress), Maryland","760398","14575"
"5001600US2405","Congressional District 5 (116th Congress), Maryland","757621","11974"
"5001600US2406","Congressional District 6 (116th Congress), Maryland","758943","11683"
"5001600US2407","Congressional District 7 (116th Congress), Maryland","716136","15865"
"5001600US2408","Congressional District 8 (116th Congress), Maryland","784852","13058"
"5001600US2501","Congressional District 1 (116th Congress), Massachusetts","736481","6725"
"5001600US2502","Congressional District 2 (116th Congress), Massachusetts","745347","9136"
"5001600US2503","Congressional District 3 (116th Congress), Massachusetts","771096","10621"
"5001600US2504","Congressional District 4 (116th Congress), Massachusetts","766019","8130"
"5001600US2505","Congressional District 5 (116th Congress), Massachusetts","775135","8506"
"5001600US2506","Congressional District 6 (116th Congress), Massachusetts","780524","5096"
"5001600US2507","Congressional District 7 (116th Congress), Massachusetts","820086","8586"
"5001600US2508","Congressional District 8 (116th Congress), Massachusetts","764891","12002"
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","742570","9496"
"5001600US2601","Congressional District 1 (116th Congress), Michigan","699220","1303"
"5001600US2602","Congressional District 2 (116th Congress), Michigan","743361","3234"
"5001600US2603","Congressional District 3 (116th Congress), Michigan","749975","2599"
"5001600US2604","Congressional District 4 (116th Congress), Michigan","704592","3038"
"5001600US2605","Congressional District 5 (116th Congress), Michigan","671115","3385"
"5001600US2606","Congressional District 6 (116th Congress), Michigan","721736","1457"
"5001600US2607","Congressional District 7 (116th Congress), Michigan","706811","3250"
"5001600US2608","Congressional District 8 (116th Congress), Michigan","749011","5693"
"5001600US2609","Congressional District 9 (116th Congress), Michigan","715259","7497"
"5001600US2610","Congressional District 10 (116th Congress), Michigan","722722","6603"
"5001600US2611","Congressional District 11 (116th Congress), Michigan","733920","6508"
"5001600US2612","Congressional District 12 (116th Congress), Michigan","709832","6810"
"5001600US2613","Congressional District 13 (116th Congress), Michigan","663867","12601"
"5001600US2614","Congressional District 14 (116th Congress), Michigan","704494","12129"
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","678418","2466"
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","714141","2818"
